Year,Temp,Prec,PDSI
1901,16.164,183.99,-0.6952
1902,14.164,193.77,-1.0065
1903,14.794,243.21,-1.0886
1904,16.536,182.43,-1.2611
1905,15.882,192.48,-1.9564
1906,15.385,134.32,-1.8018
1907,14.478,208.45,-2.0056
1908,16.111,229.38,-1.3814
1909,14.095,212.17,-0.88144
1910,14.496,285.95,1.575
1911,16.555,188.35,-0.95621
1912,15.44,217.78,0.07483
1913,14.788,215.86,0.18221
1914,14.517,270.72,0.88291
1915,16.058,248.43,0.87007
1916,14.748,207.13,0.81737
1917,16.815,274.55,1.2781
1918,15.448,179.81,-1.0378
1919,15.013,143.3,-1.0551
1920,15.786,196.89,-0.63194
1921,16.941,149.54,-0.95621
1922,15.812,181.11,0.07483
1923,15.293,162.93,0.18221
1924,16.087,207.04,0.88291
1925,15.78,221.31,0.87007
1926,14.502,257,0.81737
1927,15.61,247.72,1.2781
1928,15.896,148.25,-1.0378
1929,16.082,199.47,-1.0551
1930,15.522,304.64,-0.63194
1931,16.222,220.27,1.8402
1932,14.833,306.76,1.0452
1933,15.738,202.91,-1.5924
1934,16.903,139.73,-2.1763
1935,15.786,170.24,-0.23758
1936,15.299,258.26,1.9764
1937,16.335,188.96,0.65528
1938,15.054,217.68,-1.5239
1939,14.751,223.16,0.35935
1940,15.628,243.02,0.73669
1941,15.25,241.9,1.4766
1942,15.814,194.83,-1.0118
1943,16.517,184.6,-2.3048
1944,15.705,168.92,-2.7409
1945,17.495,155.42,-2.1395
1946,15.895,225.7,-1.8741
1947,17.732,161.57,-2.4244
1948,15.524,226.51,-1.2606
1949,16.186,148.57,-3.6751
1950,17.438,169.26,-2.0633
1951,15.177,272.38,1.5947
1952,17.446,129.02,-1.1397
1953,15.905,228.4,-1.8236
1954,14.852,185.32,-2.604
1955,15.849,240.87,-1.2382
1956,15.123,213.05,-1.492
1957,15.405,233.69,-1.0052
1958,15.622,261.54,0.76144
1959,17.038,157.67,-0.48286
1960,16.202,220.88,-0.18426
1961,15.457,186.37,-0.62642
1962,14.822,147.79,-0.90543
1963,15.357,222.14,-0.32985
1964,16.915,155.03,-1.6511
1965,14.999,221.72,-0.21916
1966,15.476,211.4,1.5375
1967,15.816,170.24,-0.68442
1968,14.948,224.55,0.44345
1969,15.587,232.49,0.76589
1970,15.986,186.73,-0.11748
1971,15.985,258.54,-0.15787
1972,14.56,209.36,-0.94796
1973,16.166,236.94,-1.8251
1974,15.135,184.64,-1.3194
1975,15.512,187.99,-0.62406
1976,17.877,120.43,-2.8902
1977,14.692,332.87,2.6218
1978,14.672,222.46,1.2095
1979,15.643,182.6,0.85062
1980,14.171,270.18,0.92493
