Year,Bor,Bur,Lan
1354,,-11.62133333,
1355,,-13.52133333,
1356,,,
1357,,-8.621333333,
1358,,,
1359,,,
1360,,,
1361,,,
1362,,,
1363,,,
1364,,,
1365,,,
1366,,,
1367,,,
1368,,,
1369,,,
1370,,,
1371,,,
1372,,0.578666667,
1373,,-8.821333333,
1374,,0.378666667,
1375,,-7.421333333,
1376,,-3.121333333,
1377,,,
1378,,-4.021333333,
1379,,-4.621333333,
1380,,-6.121333333,
1381,,-5.621333333,
1382,,-12.52133333,
1383,,-22.12133333,
1384,,-19.62133333,
1385,,-17.42133333,
1386,,-8.821333333,
1387,,-7.321333333,
1388,,0.178666667,
1389,,-2.321333333,
1390,,-12.32133333,
1391,,-12.82133333,
1392,,11.97866667,
1393,,-25.62133333,
1394,,4.078666667,
1395,,,
1396,,,
1397,,-14.92133333,
1398,,0.078666667,
1399,,-0.921333333,
1400,,-16.42133333,
1401,,-7.421333333,
1402,,-11.52133333,
1403,,-8.221333333,
1404,,3.578666667,
1405,,-0.621333333,
1406,,-2.921333333,
1407,,-0.421333333,
1408,,1.878666667,
1409,,-9.121333333,
1410,,-11.42133333,
1411,,9.578666667,
1412,,-8.621333333,
1413,,-12.92133333,
1414,,3.178666667,
1415,,-5.421333333,
1416,,-1.021333333,
1417,,-5.821333333,
1418,,-17.42133333,
1419,,-8.921333333,
1420,,-28.52133333,
1421,,-3.621333333,
1422,,-16.52133333,
1423,,-0.921333333,
1424,,-14.12133333,
1425,,-10.92133333,
1426,,-12.92133333,
1427,,-1.921333333,
1428,,9.078666667,
1429,,-2.921333333,
1430,,-11.92133333,
1431,,-7.921333333,
1432,,,
1433,,-13.92133333,
1434,,-25.92133333,
1435,,-1.921333333,
1436,,3.078666667,
1437,,,
1438,,,
1439,,,
1440,,2.078666667,
1441,,-8.921333333,
1442,,,
1443,,-0.921333333,
1444,,,
1445,,,
1446,,,
1447,,,
1448,,4.078666667,
1449,22.99333333,15.07866667,
1450,,-1.921333333,
1451,18.99333333,12.07866667,
1452,,-1.921333333,
1453,,10.07866667,
1454,,7.078666667,
1455,,4.078666667,
1456,,7.078666667,
1457,,-12.92133333,
1458,,-8.921333333,
1459,,8.078666667,
1460,,,
1461,0.993333333,-10.92133333,
1462,,,
1463,,8.078666667,
1464,,-11.92133333,
1465,32.99333333,14.07866667,
1466,,0.078666667,
1467,,0.078666667,
1468,,6.078666667,
1469,,-6.921333333,
1470,,10.07866667,
1471,,-15.92133333,
1472,,-2.921333333,
1473,,-28.92133333,
1474,18.99333333,12.07866667,
1475,,4.078666667,
1476,10.99333333,2.078666667,
1477,,14.07866667,
1478,-1.006666667,-7.921333333,
1479,,-10.92133333,
1480,,13.07866667,
1481,,20.07866667,
1482,14.99333333,-10.92133333,
1483,-0.006666667,-11.92133333,
1484,-11.00666667,-4.921333333,
1485,26.99333333,17.07866667,
1486,,-5.921333333,
1487,,-3.921333333,
1488,,17.07866667,
1489,,5.078666667,
1490,,-0.921333333,
1491,,19.07866667,
1492,,,
1493,,9.078666667,
1494,,-7.921333333,
1495,,-12.92133333,
1496,,15.07866667,
1497,,13.07866667,
1498,,0.078666667,
1499,,2.078666667,
1500,,-12.92133333,
1501,,-7.921333333,
1502,,2.078666667,
1503,,1.078666667,
1504,,-10.92133333,
1505,,16.07866667,
1506,,1.078666667,
1507,,-10.92133333,
1508,,4.078666667,
1509,,-6.921333333,
1510,,3.078666667,
1511,,17.07866667,
1512,,-1.921333333,
1513,,,
1514,,6.078666667,
1515,,8.078666667,
1516,,-13.92133333,
1517,,-0.921333333,
1518,,-4.921333333,
1519,,13.07866667,
1520,,,
1521,,,
1522,,9.078666667,
1523,,-0.921333333,
1524,,,-25.02722513
1525,,-5.921333333,
1526,,,
1527,,16.07866667,
1528,,9.078666667,
1529,,,
1530,,-11.92133333,
1531,,,
1532,1.993333333,-5.921333333,
1533,8.993333333,9.078666667,
1534,-2.006666667,-6.921333333,
1535,,3.078666667,
1536,,-17.92133333,-8.327225131
1537,,13.07866667,
1538,,-14.92133333,
1539,,-0.921333333,
1540,,-22.92133333,
1541,,,
1542,,,
1543,,,
1544,,,
1545,,-15.92133333,
1546,,-3.921333333,
1547,,4.078666667,
1548,,3.078666667,
1549,,7.078666667,
1550,,10.07866667,
1551,,-0.921333333,
1552,,-12.92133333,
1553,,8.078666667,
1554,,,2.772774869
1555,,13.07866667,
1556,,-20.92133333,
1557,,6.078666667,
1558,,5.078666667,
1559,,-21.92133333,-8.227225131
1560,,10.07866667,
1561,,-12.92133333,
1562,,,
1563,,3.078666667,
1564,,20.07866667,
1565,,,
1566,,11.07866667,
1567,,-3.921333333,
1568,,4.078666667,
1569,,-0.921333333,
1570,,8.078666667,
1571,,,
1572,,-6.921333333,
1573,,13.07866667,
1574,,2.078666667,
1575,,-0.921333333,
